target,hierarchy_path,game_object_local_id,image_component_local_id,active_in_hierarchy,sibling_index,anchor_min_x,anchor_min_y,anchor_max_x,anchor_max_y,pivot_x,pivot_y,anchored_pos_x,anchored_pos_y,size_delta_x,size_delta_y,local_scale_x,local_scale_y,local_scale_z,rect_width,rect_height,rect_area,sprite_null,sprite_name,sprite_local_id,sprite_reference_string,material_name,material_local_id,raycast_target,color,white_no_sprite,cause_class
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa5/node_tips/itembg,0,0,0,0,0,1,0,1,0.5,0.5,135.8,-20.7,296,150,1,1,1,296,150,44400,1,,0,missing#46800,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/node_tips/itembg,0,0,0,0,0,1,0,1,0.5,0.5,135.8,-20.7,296,150,1,1,1,296,150,44400,1,,0,missing#46800,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/node_tips/itembg,0,0,0,0,0,1,0,1,0.5,0.5,139.8,-20.7,296,150,1,1,1,296,150,44400,1,,0,missing#46800,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_JingjiFrame,UI_JingjiFrame_NavigationPrototype/bg_daditu,0,0,1,2,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1680,720,1,1,1,1680,720,1209600,1,,0,missing#79584,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_JingjiFrame,UI_JingjiFrame_NavigationPrototype/middle/wenquanPannel/im_actTip,0,0,0,6,0.5,0.5,0.5,0.5,0.5,0.5,-85,107,189,68,0.8,0.76,0.8,189,68,12852,1,,0,missing#40998,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_JingjiFrame,UI_JingjiFrame_NavigationPrototype/middle/ciyuanJIngjiPannel/Image,0,0,1,5,0.5,0.5,0.5,0.5,0.5,0.5,0,-61,269,36,1,1,1,269,36,9684,1,,0,missing#79598,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_JingjiFrame,UI_JingjiFrame_NavigationPrototype/middle/wenquanPannel/Image,0,0,1,5,0.5,0.5,0.5,0.5,0.5,0.5,0,-92,232,37,1,1,1,232,37,8584,1,,0,missing#79596,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_JingjiFrame,UI_JingjiFrame_NavigationPrototype/middle/baihuaPannel/Image,0,0,1,5,0.5,0.5,0.5,0.5,0.5,0.5,0,-93,232,36,1,1,1,232,36,8352,1,,0,missing#79604,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_JingjiFrame,UI_JingjiFrame_NavigationPrototype/top/bg_title,0,0,1,0,0,1,0,1,0,0.5,55,324,260,32,1,1,1,260,32,8320,1,,0,missing#41024,Default UI Material,0,0,FFFFFFFF,1,missing_sprite_serialized_reference
UI_JingjiFrame,UI_JingjiFrame_NavigationPrototype/middle/JingjichangPannel/Image,0,0,1,5,0.5,0.5,0.5,0.5,0.5,0.5,0,-132,218,36,1,1,1,218,36,7848,1,,0,missing#79590,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_JingjiFrame,UI_JingjiFrame_NavigationPrototype/middle/warOfAttritionPannel/Image,0,0,1,5,0.5,0.5,0.5,0.5,0.5,0.5,0,-93,194,36,1,1,1,194,36,6984,1,,0,missing#79588,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_JingjiFrame,UI_JingjiFrame_NavigationPrototype/top/bg_title/btn_fanhui,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,-130,-2,92,54,1,1,1,92,54,4968,1,,0,missing#41126,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_JingjiFrame,UI_JingjiFrame_NavigationPrototype/topRight/UI_currency1,0,0,1,0,1,1,1,1,0.5,0.5,-176,274,157,31,1,1,1,157,31,4867,1,,0,missing#41008,Default UI Material,0,0,FFFFFFFF,1,missing_sprite_serialized_reference
UI_JingjiFrame,UI_JingjiFrame_NavigationPrototype/topRight/UI_currency2,0,0,1,1,1,1,1,1,0.5,0.5,-361.9,274,157,31,1,1,1,157,31,4867,1,,0,missing#41008,Default UI Material,0,0,FFFFFFFF,1,missing_sprite_serialized_reference
UI_JingjiFrame,UI_JingjiFrame_NavigationPrototype/middle/wenquanPannel/im_actTip/btn_actHelp,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,95.26,20.5,41,41,1,1,1,41,41,1681,1,,0,missing#41006,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
