bundle,component_path_id,game_object_id,game_object_name,script_id,kind,keys
download/ui/uiprefabandres/maininterface.assetbundle,-8206573060511239618,869392885159435683,btn_huodong3,-787143586316466668,Button,m_AnimationTriggers;m_Colors;m_Enabled;m_GameObject;m_Interactable;m_Name;m_Navigation;m_OnClick;m_Script;m_SpriteState;m_TargetGraphic;m_Transition
download/ui/uiprefabandres/maininterface.assetbundle,-8201573253639036947,-3813834853888882469,Checkmark,-7030229213176759517,Image,m_Color;m_Enabled;m_FillAmount;m_FillCenter;m_FillClockwise;m_FillMethod;m_FillOrigin;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_PixelsPerUnitMultiplier;m_PreserveAspect;m_RaycastPadding;m_RaycastTarget;m_Script;m_Sprite;m_Type;m_UseSpriteMesh
download/ui/uiprefabandres/maininterface.assetbundle,-8200803876168866836,-7566271219758052902,text_num,-5392852106782294089,MonoBehaviour,m_Enabled;m_GameObject;m_HorizontalFit;m_Name;m_Script;m_VerticalFit
download/ui/uiprefabandres/maininterface.assetbundle,-8190014993546668921,6909064631717888618,im_diwen,-6938409698251234290,MonoBehaviour,additiveMaterial;allowMultipleCanvasRenderers;canvasRenderers;enableSeparatorSlots;freeze;initialFlipX;initialFlipY;initialSkinName;m_Color;m_Enabled;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_RaycastPadding;m_RaycastTarget;m_Script;meshGenerator;multiplyMaterial;screenMaterial;separatorParts;separatorSlotNames;skeletonDataAsset;skipByPass;startingAnimation;startingLoop;timeScale;uihide;unscaledTime;updateSeparatorPartLocation;updateWhenInvisible
download/ui/uiprefabandres/maininterface.assetbundle,-8188943564525174049,4938571343597151654,im_start2,-7030229213176759517,Image,m_Color;m_Enabled;m_FillAmount;m_FillCenter;m_FillClockwise;m_FillMethod;m_FillOrigin;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_PixelsPerUnitMultiplier;m_PreserveAspect;m_RaycastPadding;m_RaycastTarget;m_Script;m_Sprite;m_Type;m_UseSpriteMesh
download/ui/uiprefabandres/maininterface.assetbundle,-8186646875550090425,-8921539976432059485,im_fengxian2,-7030229213176759517,Image,m_Color;m_Enabled;m_FillAmount;m_FillCenter;m_FillClockwise;m_FillMethod;m_FillOrigin;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_PixelsPerUnitMultiplier;m_PreserveAspect;m_RaycastPadding;m_RaycastTarget;m_Script;m_Sprite;m_Type;m_UseSpriteMesh
download/ui/uiprefabandres/maininterface.assetbundle,-8164890542067524352,-1581283951147234726,text_name,-5392852106782294089,MonoBehaviour,m_Enabled;m_GameObject;m_HorizontalFit;m_Name;m_Script;m_VerticalFit
download/ui/uiprefabandres/maininterface.assetbundle,-8160918663908728175,8874385273340425112,im_renwu,-7030229213176759517,Image,m_Color;m_Enabled;m_FillAmount;m_FillCenter;m_FillClockwise;m_FillMethod;m_FillOrigin;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_PixelsPerUnitMultiplier;m_PreserveAspect;m_RaycastPadding;m_RaycastTarget;m_Script;m_Sprite;m_Type;m_UseSpriteMesh
download/ui/uiprefabandres/maininterface.assetbundle,-8160201130915634577,-6654464510941913500,head_yuan150,1924290018182821150,MonoBehaviour,LuaComs;m_Enabled;m_GameObject;m_Name;m_Script
download/ui/uiprefabandres/maininterface.assetbundle,-8139157947392758730,4082039795303117925,text_off,-5755350681981302373,Text,checkPaddingRequired;m_Color;m_Enabled;m_GameObject;m_HorizontalAlignment;m_IsTextObjectScaleStatic;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_RaycastPadding;m_RaycastTarget;m_Script;m_StyleSheet;m_TextStyleHashCode;m_VertexBufferAutoSizeReduction;m_VerticalAlignment;m_baseMaterial;m_charWidthMaxAdj;m_characterSpacing;m_colorMode;m_enableAutoSizing;m_enableExtraPadding;m_enableKerning;m_enableVertexGradient;m_enableWordWrapping;m_faceColor;m_fontAsset;m_fontColor;m_fontColor32;m_fontColorGradient;m_fontColorGradientPreset;m_fontMaterial;m_fontMaterials;m_fontSharedMaterials;m_fontSize;m_fontSizeBase;m_fontSizeMax;m_fontSizeMin;m_fontStyle;m_fontWeight;m_geometrySortingOrder;m_hasFontAssetChanged;m_horizontalMapping;m_isCullingEnabled;m_isOrthographic;m_isRichText;m_isRightToLeft;m_isUsingLegacyAnimationComponent;m_isVolumetricText;m_lineSpacing;m_lineSpacingMax;m_linkedTextComponent;m_margin;m_maskOffset;m_overflowMode;m_overrideHtmlColors;m_pageToDisplay;m_paragraphSpacing;m_parseCtrlCharacters;m_sharedMaterial;m_spriteAsset;m_text;m_textAlignment;m_tintAllSprites;m_useMaxVisibleDescender;m_uvLineOffset;m_verticalMapping;m_wordSpacing;m_wordWrappingRatios;parentLinkedComponent
download/ui/uiprefabandres/maininterface.assetbundle,-8132973666517048800,-3958085157751211592,RedDot,-7030229213176759517,Image,m_Color;m_Enabled;m_FillAmount;m_FillCenter;m_FillClockwise;m_FillMethod;m_FillOrigin;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_PixelsPerUnitMultiplier;m_PreserveAspect;m_RaycastPadding;m_RaycastTarget;m_Script;m_Sprite;m_Type;m_UseSpriteMesh
download/ui/uiprefabandres/maininterface.assetbundle,-8114976055071304331,6780694365893887038,text,-5392852106782294089,MonoBehaviour,m_Enabled;m_GameObject;m_HorizontalFit;m_Name;m_Script;m_VerticalFit
